HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
IND,India,HL70399,"F-R4, F-R6",,,,,IND,,India,urn:iso:std:iso:3166,,
IDN,Indonesia,HL70399,"F-R4, F-R6",,,,,IDN,,Indonesia,urn:iso:std:iso:3166,,
IRN,Iran (Islamic Republic of),HL70399,"F-R4, F-R6",,,,,IRN,,Iran (Islamic Republic of),urn:iso:std:iso:3166,,
IRQ,Iraq,HL70399,"F-R4, F-R6",,,,,IRQ,,Iraq,urn:iso:std:iso:3166,,
IRL,Ireland,HL70399,"F-R4, F-R6",,,,,IRL,,Ireland,urn:iso:std:iso:3166,,
IMN,Isle of Man,HL70399,"F-R4, F-R6",,,,,IMN,,Isle of Man,urn:iso:std:iso:3166,,
ISR,Israel,HL70399,"F-R4, F-R6",,,,,ISR,,Israel,urn:iso:std:iso:3166,,
ITA,Italy,HL70399,"F-R4, F-R6",,,,,ITA,,Italy,urn:iso:std:iso:3166,,
JAM,Jamaica,HL70399,"F-R4, F-R6",,,,,JAM,,Jamaica,urn:iso:std:iso:3166,,
JPN,Japan,HL70399,"F-R4, F-R6",,,,,JPN,,Japan,urn:iso:std:iso:3166,,
JEY,Jersey,HL70399,"F-R4, F-R6",,,,,JEY,,Jersey,urn:iso:std:iso:3166,,
JOR,Jordan,HL70399,"F-R4, F-R6",,,,,JOR,,Jordan,urn:iso:std:iso:3166,,
KAZ,Kazakhstan,HL70399,"F-R4, F-R6",,,,,KAZ,,Kazakhstan,urn:iso:std:iso:3166,,
KEN,Kenya,HL70399,"F-R4, F-R6",,,,,KEN,,Kenya,urn:iso:std:iso:3166,,
KIR,Kiribati,HL70399,"F-R4, F-R6",,,,,KIR,,Kiribati,urn:iso:std:iso:3166,,
PRK,Korea (the Democratic People's Republic of),HL70399,"F-R4, F-R6",,,,,PRK,,Korea (the Democratic People's Republic of),urn:iso:std:iso:3166,,
KOR,Korea (the Republic of),HL70399,"F-R4, F-R6",,,,,KOR,,Korea (the Republic of),urn:iso:std:iso:3166,,
KWT,Kuwait,HL70399,"F-R4, F-R6",,,,,KWT,,Kuwait,urn:iso:std:iso:3166,,
KGZ,Kyrgyzstan,HL70399,"F-R4, F-R6",,,,,KGZ,,Kyrgyzstan,urn:iso:std:iso:3166,,
