HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
CULD,Cul De Sac,HL70550,"F-R4, F-R6",,,,,CULD,,Cul De Sac,http://terminology.hl7.org/CodeSystem/v2-0550,,
CULDO,Culdocentesis,HL70550,"F-R4, F-R6",,,,,CULDO,,Culdocentesis,http://terminology.hl7.org/CodeSystem/v2-0550,,
DELT,Deltoid,HL70550,"F-R4, F-R6",,,,,DELT,,Deltoid,http://terminology.hl7.org/CodeSystem/v2-0550,,
DENTA,Dental,HL70550,"F-R4, F-R6",,,,,DENTA,,Dental,http://terminology.hl7.org/CodeSystem/v2-0550,,
DEN,Dental Gingiva,HL70550,"F-R4, F-R6",,,,,DEN,,Dental Gingiva,http://terminology.hl7.org/CodeSystem/v2-0550,,
DIAF,Dialysis Fluid,HL70550,"F-R4, F-R6",,,,,DIAF,,Dialysis Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
DPH,Diaphragm,HL70550,"F-R4, F-R6",,,,,DPH,,Diaphragm,http://terminology.hl7.org/CodeSystem/v2-0550,,
DIGIT,Digit,HL70550,"F-R4, F-R6",,,,,DIGIT,,Digit,http://terminology.hl7.org/CodeSystem/v2-0550,,
DISC,Disc,HL70550,"F-R4, F-R6",,,,,DISC,,Disc,http://terminology.hl7.org/CodeSystem/v2-0550,,
DORS,Dorsum/Dorsal,HL70550,"F-R4, F-R6",,,,,DORS,,Dorsum/Dorsal,http://terminology.hl7.org/CodeSystem/v2-0550,,
DUFL,Duodenal Fluid,HL70550,"F-R4, F-R6",,,,,DUFL,,Duodenal Fluid,http://terminology.hl7.org/CodeSystem/v2-0550,,
DUODE,Duodenum/Duodenal,HL70550,"F-R4, F-R6",,,,,DUODE,,Duodenum/Duodenal,http://terminology.hl7.org/CodeSystem/v2-0550,,
DUR,Dura,HL70550,"F-R4, F-R6",,,,,DUR,,Dura,http://terminology.hl7.org/CodeSystem/v2-0550,,
EAR,Ear,HL70550,"F-R4, F-R6",,,,,EAR,,Ear,http://terminology.hl7.org/CodeSystem/v2-0550,,
