HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
ORI_O24,O24,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O22,O22,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O34,O34,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O36,O36,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O40,O40,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O41,O41,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O42,O42,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O43,O43,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O44,O44,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O53,O53,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O54,O54,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O55,O55,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORL_O56,O56,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORM_O01,O01,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORN_O08,O08,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORP_O10,O10,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORR_O02,O02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORS_O06,O06,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORU_R01,R01,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORU_R30,R30,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORU_W01,W01,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORX_O43,O43,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORX_O58,O58,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OSM_R26,R26,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OSQ_Q06,Q06,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OSR_Q06,Q06,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OSU_O41,O41,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OSU_O51,O51,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OSU_O52,O52,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OUL_R21,R21,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OUL_R22,R22,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OUL_R23,R23,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OUL_R24,R24,HL7-0354,"F-R4, F-R6",,,,,,,,,,
PEX_P07,"P07, P08",HL7-0354,"F-R4, F-R6",,,,,,,,,,
PGL_PC6,"PC6, PC7, PC8",HL7-0354,"F-R4, F-R6",,,,,,,,,,
PMU_B01,"B01, B02",HL7-0354,"F-R4, F-R6",,,,,,,,,,
PMU_B03,B03,HL7-0354,"F-R4, F-R6",,,,,,,,,,
PMU_B04,"B04, B05, B06",HL7-0354,"F-R4, F-R6",,,,,,,,,,
PMU_B07,B07,HL7-0354,"F-R4, F-R6",,,,,,,,,,
PMU_B08,B08,HL7-0354,"F-R4, F-R6",,,,,,,,,,
PPG_PCG,"PCC, PCG, PCH, PCJ",HL7-0354,"F-R4, F-R6",,,,,,,,,,
PPP_PCB,"PCB, PCD",HL7-0354,"F-R4, F-R6",,,,,,,,,,
PPR_PC1,"PC1, PC2, PC3",HL7-0354,"F-R4, F-R6",,,,,,,,,,
PPT_PCL,PCL,HL7-0354,"F-R4, F-R6",,,,,,,,,,
PPV_PCA,PCA,HL7-0354,"F-R4, F-R6",,,,,,,,,,
PRR_PC5,PC5,HL7-0354,"F-R4, F-R6",,,,,,,,,,
PTR_PCF,PCF,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QBP_E03,E03,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QBP_E22,E22,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QBP_O33,O33,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QBP_O34,O34,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QBP_Q11,Q11,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QBP_Q13,Q13,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QBP_Q15,Q15,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QBP_Q21,"Q21, Q22, Q23,Q24, Q25",HL7-0354,"F-R4, F-R6",,,,,,,,,,
QCK_Q02,Q02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QCN_J01,"J01, J02",HL7-0354,"F-R4, F-R6",,,,,,,,,,
QRF_W02,W02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QRY_A19,A19,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QRY_PC4,"PC4, PC9, PCE, PCK",HL7-0354,"F-R4, F-R6",,,,,,,,,,
QRY_Q01,"Q01, Q26, Q27, Q28, Q29, Q30",HL7-0354,"F-R4, F-R6",,,,,,,,,,
QRY_Q02,Q02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QRY_R02,R02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QRY_T12,T12,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QSB_Q16,Q16,HL7-0354,"F-R4, F-R6",,,,,,,,,,
QVR_Q17,Q17,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RAR_RAR,RAR,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RAS_O17,O17,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RCI_I05,I05,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RCL_I06,I06,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RDE_O11,"O11, O25",HL7-0354,"F-R4, F-R6",,,,,,,,,,
RDE_O49,Events O49,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RDR_RDR,RDR,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RDS_O13,O13,HL7-0354,"F-R4, F-R6",,,,,,,,,,
