HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
ETTUB,"Tube, Endotracheal",HL70487,"F-R4, F-R6",,,,,ETTUB,,"Tube, Endotracheal",http://terminology.hl7.org/CodeSystem/v2-0487,,
EWHI,"Environmental, Whirlpool",HL70487,"F-R4, F-R6",,,,,EWHI,,"Environmental, Whirlpool",http://terminology.hl7.org/CodeSystem/v2-0487,,
EXG,"Gas, exhaled (=breath)",HL70487,"F-R4, F-R6",,,,,EXG,,"Gas, exhaled (=breath)",http://terminology.hl7.org/CodeSystem/v2-0487,,
EXS,"Shunt, External",HL70487,"F-R4, F-R6",,,,,EXS,,"Shunt, External",http://terminology.hl7.org/CodeSystem/v2-0487,,
EXUDTE,Exudate,HL70487,"F-R4, F-R6",,,,,EXUDTE,,Exudate,http://terminology.hl7.org/CodeSystem/v2-0487,,
FAW,"Environmental, Water  (Well)",HL70487,"F-R4, F-R6",,,,,FAW,,"Environmental, Water  (Well)",http://terminology.hl7.org/CodeSystem/v2-0487,,
FBLOOD,"Blood, Fetal",HL70487,"F-R4, F-R6",,,,,FBLOOD,,"Blood, Fetal",http://terminology.hl7.org/CodeSystem/v2-0487,,
FGA,"Fluid,  Abdomen",HL70487,"F-R4, F-R6",,,,,FGA,,"Fluid,  Abdomen",http://terminology.hl7.org/CodeSystem/v2-0487,,
FIB,Fibroblasts,HL70487,"F-R4, F-R6",,,,,FIB,,Fibroblasts,http://terminology.hl7.org/CodeSystem/v2-0487,,
FIST,Fistula,HL70487,"F-R4, F-R6",,,,,FIST,,Fistula,http://terminology.hl7.org/CodeSystem/v2-0487,,
FLD,"Fluid, Other",HL70487,"F-R4, F-R6",,,,,FLD,,"Fluid, Other",http://terminology.hl7.org/CodeSystem/v2-0487,,
FLT,Filter,HL70487,"F-R4, F-R6",,,,,FLT,,Filter,http://terminology.hl7.org/CodeSystem/v2-0487,,
FLU,"Fluid, Body unsp",HL70487,"F-R4, F-R6",,,,,FLU,,"Fluid, Body unsp",http://terminology.hl7.org/CodeSystem/v2-0487,,
FLUID,Fluid,HL70487,"F-R4, F-R6",,,,,FLUID,,Fluid,http://terminology.hl7.org/CodeSystem/v2-0487,,
FOLEY,"Catheter Tip, Foley",HL70487,"F-R4, F-R6",,,,,FOLEY,,"Catheter Tip, Foley",http://terminology.hl7.org/CodeSystem/v2-0487,,
FRS,"Fluid, Respiratory",HL70487,"F-R4, F-R6",,,,,FRS,,"Fluid, Respiratory",http://terminology.hl7.org/CodeSystem/v2-0487,,
FSCLP,"Scalp, Fetal",HL70487,"F-R4, F-R6",,,,,FSCLP,,"Scalp, Fetal",http://terminology.hl7.org/CodeSystem/v2-0487,,
FUR,Furuncle,HL70487,"F-R4, F-R6",,,,,FUR,,Furuncle,http://terminology.hl7.org/CodeSystem/v2-0487,,
GAS,Gas,HL70487,"F-R4, F-R6",,,,,GAS,,Gas,http://terminology.hl7.org/CodeSystem/v2-0487,,
GASA,"Aspirate, Gastric",HL70487,"F-R4, F-R6",,,,,GASA,,"Aspirate, Gastric",http://terminology.hl7.org/CodeSystem/v2-0487,,
GASAN,"Antrum, Gastric",HL70487,"F-R4, F-R6",,,,,GASAN,,"Antrum, Gastric",http://terminology.hl7.org/CodeSystem/v2-0487,,
GASBR,"Brushing, Gastric",HL70487,"F-R4, F-R6",,,,,GASBR,,"Brushing, Gastric",http://terminology.hl7.org/CodeSystem/v2-0487,,
GASD,"Drainage, Gastric",HL70487,"F-R4, F-R6",,,,,GASD,,"Drainage, Gastric",http://terminology.hl7.org/CodeSystem/v2-0487,,
GAST,"Fluid/contents, Gastric",HL70487,"F-R4, F-R6",,,,,GAST,,"Fluid/contents, Gastric",http://terminology.hl7.org/CodeSystem/v2-0487,,
GENL,Genital lochia,HL70487,"F-R4, F-R6",,,,,GENL,,Genital lochia,http://terminology.hl7.org/CodeSystem/v2-0487,,
GENV,Genital vaginal,HL70487,"F-R4, F-R6",,,,,GENV,,Genital vaginal,http://terminology.hl7.org/CodeSystem/v2-0487,,
GRAFT,Graft,HL70487,"F-R4, F-R6",,,,,GRAFT,,Graft,http://terminology.hl7.org/CodeSystem/v2-0487,,
GRAFTS,Graft Site,HL70487,"F-R4, F-R6",,,,,GRAFTS,,Graft Site,http://terminology.hl7.org/CodeSystem/v2-0487,,
GRANU,Granuloma,HL70487,"F-R4, F-R6",,,,,GRANU,,Granuloma,http://terminology.hl7.org/CodeSystem/v2-0487,,
